Avogadro,atom,GAFF,UFF,exp, ,
H-H,H-H,1.1,0.708,0.741,,
H3C-CH3,C-C,1.537,1.519,1.526,,
H3C-CH4,C-H,1.092,1.11,1.088,,
H2C-CH2,C-C,1.325,1.331,1.339,,
H2C-CH3,C-H,1.087,1.085,1.085,,
HC-CH,C-C,1.205,1.205,1.203,,
HC-CH,C-H,1.058,1.058,1.061,,
STO-3G,atom,B3YLP,MP2,CCSD,M062X,exp
H-H,H-H,0.72838,0.72374,0.70801,0.72206,0.741
H-H,time,21.5,24.6,4,23.5,x
H3C-CH3,C-C,1.55123,1.55541,1.56303,1.54109,1.526
H3C-CH4,C-H,1.10097,1.10309,1.11147,1.0957,1.088
H3C-CH5,time,23.4,29.9,62.4,25.6,x
H2C-CH2,C-C,1.33309,1.34529,1.3549,1.32245,1.339
H2C-CH3,C-H,1.09728,1.09832,1.10609,1.09227,1.085
H2C-CH4,time,25.5,22.9,48.2,30.7,x
HC-CH,C-C,1.20055,1.21829,1.21263,1.1926,1.203
HC-CH,C-H,1.08084,1.0807,1.08783,1.07782,1.061
HC-CH,time,26.7,31,59.8,27,x
3-21G,atom,B3YLP,MP2,CCSD,M062X,exp
H-H,H-H,0.74623,0.74136,0.74981,0.74145,0.741
H-H,time,12.8,10.3,19.7,9.7,x
H3C-CH3,C-C,1.54478,1.55083,1.55624,1.5431,1.526
H3C-CH4,C-H,1.09556,1.09481,1.09932,1.09412,1.088
H3C-CH5,time,24.6,27.9,75.9,30.9,x
H2C-CH2,C-C,1.32941,1.34115,1.34387,1.328,1.339
H2C-CH3,C-H,1.08586,1.0856,1.08976,1.08468,1.085
H2C-CH4,time,31.7,23.1,61.5,34.6,x
HC-CH,C-C,1.20366,1.22169,1.21683,1.20226,1.203
HC-CH,C-H,1.06224,1.06429,1.06837,1.06209,1.061
HC-CH,time,39.1,32.7,74.6,22.8,x
6-31G(d),atom,B3YLP,MP2,CCSD,M062X,exp
H-H,H-H,0.74279,0.73752,0.74621,0.73653,0.741
H-H,time,12.4,14.1,18.7,12.6,x
H3C-CH3,C-C,1.53114,1.52527,1.52904,1.52572,1.526
H3C-CH4,C-H,1.09629,1.09327,1.09686,1.09391,1.088
H3C-CH5,time,31.2,33.8,165,38.5,x
H2C-CH2,C-C,1.33094,1.33662,1.3379,1.32744,1.339
H2C-CH3,C-H,1.08749,1.08505,1.08803,1.0859,1.085
H2C-CH4,time,42,37.5,153.4,41.2,x
HC-CH,C-C,1.20498,1.21768,1.21151,1.20193,1.203
HC-CH,C-H,1.06664,1.06614,1.0687,1.06712,1.061
HC-CH,time,44.3,35.7,124.3,28.4,x
"6-31G(d,p)",atom,B3YLP,MP2,CCSD,M062X,exp
H-H,H-H,0.7428,0.73393,0.73845,0.73649,0.741
H-H,time,15.3,12.9,24.3,11.5,x
H3C-CH3,C-C,1.53054,1.52345,1.52671,1.52543,1.526
H3C-CH4,C-H,1.09513,1.08872,1.09047,1.09316,1.088
H3C-CH5,time,35.2,40,483.5,44.3,x
H2C-CH2,C-C,1.33016,1.33535,1.33646,1.32687,1.339
H2C-CH3,C-H,1.08666,1.08065,1.08188,1.08541,1.085
H2C-CH4,time,50.1,44.1,324,47.1,x
HC-CH,C-C,1.20535,1.21855,1.21213,1.20235,1.203
HC-CH,C-H,1.06572,1.06245,1.06365,1.06643,1.061
HC-CH,time,33.2,41.9,140.7,31.1,x
LANL2DZ,atom,B3YLP,MP2,CCSD,M062X,exp
H-H,H-H,0.74348,0.73835,0.7473,0.73747,0.741
H-H,time,13.2,14.8,19.2,13.4,x
H3C-CH3,C-C,1.54356,1.56173,1.56506,1.53924,1.526
H3C-CH4,C-H,1.09795,1.10492,1.10925,1.09492,1.088
H3C-CH5,time,31.3,27,78.6,31.9,x
H2C-CH2,C-C,1.34836,1.36762,1.3697,1.34312,1.339
H2C-CH3,C-H,1.08841,1.09413,1.09782,1.08628,1.085
H2C-CH4,time,27.1,25.5,65.9,37.3,x
HC-CH,C-C,1.22228,1.24606,1.23941,1.21687,1.203
HC-CH,C-H,1.06783,1.07186,1.07543,1.06706,1.061
HC-CH,time,43.7,27.5,73.8,26.3,x